oris,facility_name,state,coats_unit,cems_unit,status
59913,Greensville County Power Station,VA,1A,1A,matched
59913,Greensville County Power Station,VA,1B,1B,matched
59913,Greensville County Power Station,VA,1C,1C,matched
7032,Gravel Neck Combustion Turbine,VA,3,3,matched
7032,Gravel Neck Combustion Turbine,VA,4,4,matched
7032,Gravel Neck Combustion Turbine,VA,5,5,matched
7032,Gravel Neck Combustion Turbine,VA,6,6,matched
7212,Darbytown Combustion Turbine,VA,1,1,matched
7212,Darbytown Combustion Turbine,VA,2,2,matched
7212,Darbytown Combustion Turbine,VA,3,3,matched
7212,Darbytown Combustion Turbine,VA,4,4,matched
7213,Clover Power Station,VA,1,1,matched
7213,Clover Power Station,VA,2,2,matched
7836,Marsh Run Generation Facility,VA,EU1,EU1,matched
7836,Marsh Run Generation Facility,VA,EU2,EU2,matched
7836,Marsh Run Generation Facility,VA,EU3,EU3,matched
7837,Louisa Generation Facility,VA,EU1,EU1,matched
7837,Louisa Generation Facility,VA,EU2,EU2,matched
7837,Louisa Generation Facility,VA,EU3,EU3,matched
7837,Louisa Generation Facility,VA,EU4,EU4,matched
7837,Louisa Generation Facility,VA,EU5,EU5,matched
7838,Remington Combustion Turbine Station,VA,1,1,matched
7838,Remington Combustion Turbine Station,VA,2,2,matched
7838,Remington Combustion Turbine Station,VA,3,3,matched
7838,Remington Combustion Turbine Station,VA,4,4,matched
7839,Ladysmith Combustion Turbine Sta,VA,1,1,matched
7839,Ladysmith Combustion Turbine Sta,VA,2,2,matched
7839,Ladysmith Combustion Turbine Sta,VA,3,3,matched
7839,Ladysmith Combustion Turbine Sta,VA,4,4,matched
7839,Ladysmith Combustion Turbine Sta,VA,5,5,matched
3734,Berlin 5,VT,A,A,matched
3734,Berlin 5,VT,B,B,matched
3754,Penny Lane Gas Turbine,VT,CT1,CT1,matched
3754,Penny Lane Gas Turbine,VT,CT2,CT2,matched
