state,year,quarter,regime,group,n_plants,co2_tons,gross_mwh,co2_lb_per_mwh,nameplate_mw,gross_mwh_capmatched,capacity_factor
CT,2023,4,oblig_2022q3_2023q4,covered,15.0,2427613.072,5401375.77,898.8869411690645,6821.4,5401375.77,0.35861777027474917
CT,2024,1,oblig_2024q1_2026q2,all,15.0,2329673.598,5248573.339999999,887.7359415920824,6821.4,5248573.339999999,0.35230200856795096
CT,2024,1,oblig_2024q1_2026q2,covered,15.0,2329673.598,5248573.339999999,887.7359415920824,6821.4,5248573.339999999,0.35230200856795096
CT,2024,2,oblig_2024q1_2026q2,all,20.0,2160309.934,4840640.050000001,892.5720200988709,7071.400000000001,4840640.050000001,0.31343302306530946
CT,2024,2,oblig_2024q1_2026q2,covered,15.0,2160309.934,4840530.2700000005,892.5922630373303,6821.4,4840530.2700000005,0.32491277651746914
CT,2024,2,oblig_2024q1_2026q2,not_covered,5.0,0.0,109.78,0.0,250.00000000000003,109.78,0.00020106227106227102
CT,2024,3,oblig_2024q1_2026q2,all,20.0,3020780.818,6825571.379999999,885.1363936655514,7071.400000000001,6825571.379999999,0.43715408347280094
CT,2024,3,oblig_2024q1_2026q2,covered,15.0,3020780.818,6825321.879999999,885.1687498729366,6821.4,6825321.879999999,0.45315893917394656
CT,2024,3,oblig_2024q1_2026q2,not_covered,5.0,0.0,249.5,0.0,250.00000000000003,249.5,0.0004519927536231883
CT,2024,4,oblig_2024q1_2026q2,all,15.0,2709755.707,6139397.299999999,882.7432318152795,6821.4,6139397.299999999,0.4076178115185671
CT,2024,4,oblig_2024q1_2026q2,covered,15.0,2709755.707,6139397.299999999,882.7432318152795,6821.4,6139397.299999999,0.4076178115185671
CT,2025,1,oblig_2024q1_2026q2,all,15.0,2561128.154,5574282.49,918.9086339253681,6821.4,5574282.49,0.3783220948724548
CT,2025,1,oblig_2024q1_2026q2,covered,15.0,2561128.154,5574282.49,918.9086339253681,6821.4,5574282.49,0.3783220948724548
CT,2025,2,oblig_2024q1_2026q2,all,20.0,2029738.52,4477421.43,906.6551146604934,7071.400000000001,4477421.43,0.2899144988775401
CT,2025,2,oblig_2024q1_2026q2,covered,15.0,2029738.5199999996,4476279.629999999,906.8863823415786,6821.4,4476279.629999999,0.3004630406023448
CT,2025,2,oblig_2024q1_2026q2,not_covered,5.0,0.0,1141.8,0.0,250.00000000000003,1141.8,0.0020912087912087905
CT,2025,3,oblig_2024q1_2026q2,all,20.0,2909600.5330000003,6539176.29,889.8981779859618,7071.400000000001,6539176.29,0.41881147505075556
CT,2025,3,oblig_2024q1_2026q2,covered,15.0,2909600.5330000003,6538559.600000001,889.9821095153741,6821.4,6538559.600000001,0.4341197066095914
CT,2025,3,oblig_2024q1_2026q2,not_covered,5.0,0.0,616.6899999999999,0.0,250.00000000000003,616.6899999999999,0.0011171920289855068
CT,2025,4,oblig_2024q1_2026q2,all,15.0,2419409.1569999997,5434722.510000001,890.352415435466,6821.4,5434722.510000001,0.36083178649097924
CT,2025,4,oblig_2024q1_2026q2,covered,15.0,2419409.1569999997,5434722.510000001,890.352415435466,6821.4,5434722.510000001,0.36083178649097924
DC,2020,1,oblig_2020,all,1.0,0.0,0.0,,0.0,0.0,
DC,2020,1,oblig_2020,not_covered,1.0,0.0,0.0,,0.0,0.0,
DC,2020,2,oblig_2020,all,1.0,0.0,0.0,,0.0,0.0,
DC,2020,2,oblig_2020,not_covered,1.0,0.0,0.0,,0.0,0.0,
DC,2020,3,oblig_2020,all,1.0,0.0,0.0,,0.0,0.0,
DC,2020,3,oblig_2020,not_covered,1.0,0.0,0.0,,0.0,0.0,
DC,2020,4,oblig_2020,all,1.0,0.0,0.0,,0.0,0.0,
DC,2020,4,oblig_2020,not_covered,1.0,0.0,0.0,,0.0,0.0,
DC,2021,1,oblig_2021q1_2022q2,all,1.0,0.0,0.0,,0.0,0.0,
DC,2021,1,oblig_2021q1_2022q2,not_covered,1.0,0.0,0.0,,0.0,0.0,
DC,2021,2,oblig_2021q1_2022q2,all,1.0,0.0,0.0,,0.0,0.0,
DC,2021,2,oblig_2021q1_2022q2,not_covered,1.0,0.0,0.0,,0.0,0.0,
DC,2021,3,oblig_2021q1_2022q2,all,1.0,0.0,0.0,,0.0,0.0,
DC,2021,3,oblig_2021q1_2022q2,not_covered,1.0,0.0,0.0,,0.0,0.0,
DC,2021,4,oblig_2021q1_2022q2,all,1.0,0.0,0.0,,0.0,0.0,
DC,2021,4,oblig_2021q1_2022q2,not_covered,1.0,0.0,0.0,,0.0,0.0,
DC,2022,1,oblig_2021q1_2022q2,all,1.0,0.0,0.0,,0.0,0.0,
DC,2022,1,oblig_2021q1_2022q2,not_covered,1.0,0.0,0.0,,0.0,0.0,
DC,2022,2,oblig_2021q1_2022q2,all,1.0,0.0,0.0,,0.0,0.0,
DC,2022,2,oblig_2021q1_2022q2,not_covered,1.0,0.0,0.0,,0.0,0.0,
DC,2022,3,oblig_2022q3_2023q4,all,1.0,0.0,0.0,,0.0,0.0,
DC,2022,3,oblig_2022q3_2023q4,not_covered,1.0,0.0,0.0,,0.0,0.0,
DC,2022,4,oblig_2022q3_2023q4,all,1.0,0.0,0.0,,0.0,0.0,
DC,2022,4,oblig_2022q3_2023q4,not_covered,1.0,0.0,0.0,,0.0,0.0,
DC,2023,1,oblig_2022q3_2023q4,all,1.0,0.0,0.0,,0.0,0.0,
DC,2023,1,oblig_2022q3_2023q4,not_covered,1.0,0.0,0.0,,0.0,0.0,
DC,2023,2,oblig_2022q3_2023q4,all,1.0,0.0,0.0,,0.0,0.0,
DC,2023,2,oblig_2022q3_2023q4,not_covered,1.0,0.0,0.0,,0.0,0.0,
DC,2023,3,oblig_2022q3_2023q4,all,1.0,0.0,0.0,,0.0,0.0,
DC,2023,3,oblig_2022q3_2023q4,not_covered,1.0,0.0,0.0,,0.0,0.0,
DC,2023,4,oblig_2022q3_2023q4,all,1.0,0.0,0.0,,0.0,0.0,
DC,2023,4,oblig_2022q3_2023q4,not_covered,1.0,0.0,0.0,,0.0,0.0,
DC,2024,1,oblig_2024q1_2026q2,all,1.0,0.0,0.0,,0.0,0.0,
DC,2024,1,oblig_2024q1_2026q2,not_covered,1.0,0.0,0.0,,0.0,0.0,
DC,2024,2,oblig_2024q1_2026q2,all,1.0,0.0,0.0,,0.0,0.0,
DC,2024,2,oblig_2024q1_2026q2,not_covered,1.0,0.0,0.0,,0.0,0.0,
DC,2024,3,oblig_2024q1_2026q2,all,1.0,0.0,0.0,,0.0,0.0,
DC,2024,3,oblig_2024q1_2026q2,not_covered,1.0,0.0,0.0,,0.0,0.0,
DC,2024,4,oblig_2024q1_2026q2,all,1.0,0.0,0.0,,0.0,0.0,
DC,2024,4,oblig_2024q1_2026q2,not_covered,1.0,0.0,0.0,,0.0,0.0,
DC,2025,1,oblig_2024q1_2026q2,all,1.0,0.0,0.0,,0.0,0.0,
DC,2025,1,oblig_2024q1_2026q2,not_covered,1.0,0.0,0.0,,0.0,0.0,
DC,2025,2,oblig_2024q1_2026q2,all,1.0,0.0,0.0,,0.0,0.0,
DC,2025,2,oblig_2024q1_2026q2,not_covered,1.0,0.0,0.0,,0.0,0.0,
DC,2025,3,oblig_2024q1_2026q2,all,1.0,0.0,0.0,,0.0,0.0,
DC,2025,3,oblig_2024q1_2026q2,not_covered,1.0,0.0,0.0,,0.0,0.0,
DC,2025,4,oblig_2024q1_2026q2,all,1.0,0.0,0.0,,0.0,0.0,
DC,2025,4,oblig_2024q1_2026q2,not_covered,1.0,0.0,0.0,,0.0,0.0,
DE,2020,1,oblig_2020,all,10.0,274192.48600000003,515729.54,1063.318909364781,3477.1,515729.54,0.067912886965402
DE,2020,1,oblig_2020,covered,10.0,274192.48600000003,515729.54,1063.318909364781,3477.1,515729.54,0.067912886965402
DE,2020,2,oblig_2020,all,12.0,485039.61899999995,812488.0700000001,1193.9612085627298,3515.5999999999995,812488.0700000001,0.10581930454818443
DE,2020,2,oblig_2020,covered,10.0,485039.619,812481.6699999999,1193.9706135155025,3477.1,812481.6699999999,0.10699014025097543
DE,2020,2,oblig_2020,not_covered,2.0,0.0,6.4,0.0,38.5,6.4,7.611436182864755e-05
DE,2020,3,oblig_2020,all,12.0,968166.6699999999,1471265.6,1316.1004647971106,3515.5999999999995,1471265.6,0.18953636874815527
DE,2020,3,oblig_2020,covered,10.0,968166.67,1471203.3900000001,1316.1561162525597,3477.1,1471203.3900000001,0.19162689688308476
DE,2020,3,oblig_2020,not_covered,2.0,0.0,62.209999999999994,0.0,38.5,62.209999999999994,0.0007318134763786936
DE,2020,4,oblig_2020,all,10.0,328438.47500000003,452738.18,1450.8980665160605,3477.1,452738.18,0.05896996508001212
DE,2020,4,oblig_2020,covered,10.0,328438.47500000003,452738.18,1450.8980665160605,3477.1,452738.18,0.05896996508001212
DE,2021,1,oblig_2021q1_2022q2,all,10.0,287055.173,295715.87,1941.4255514930599,3477.1,295715.87,0.03937347081486594
DE,2021,1,oblig_2021q1_2022q2,covered,10.0,287055.173,295715.87,1941.4255514930599,3477.1,295715.87,0.03937347081486594
DE,2021,2,oblig_2021q1_2022q2,all,12.0,479644.0749999999,733725.1699999999,1307.4216194600492,3515.5999999999995,733725.1699999999,0.09556114124715502
DE,2021,2,oblig_2021q1_2022q2,covered,10.0,479644.07499999995,733631.6699999999,1307.5882479282825,3477.1,733631.6699999999,0.09660692439480797
DE,2021,2,oblig_2021q1_2022q2,not_covered,2.0,0.0,93.5,0.0,38.5,93.5,0.0011119832548403977
DE,2021,3,oblig_2021q1_2022q2,all,11.0,802815.6529999999,1226598.2799999998,1309.0115420673833,3402.0,1226598.2799999998,0.16329352831667643
DE,2021,3,oblig_2021q1_2022q2,covered,9.0,802815.653,1226544.2000000002,1309.0692581645242,3363.5,1226544.2000000002,0.16515537106576786
DE,2021,3,oblig_2021q1_2022q2,not_covered,2.0,0.0,54.08,0.0,38.5,54.08,0.0006361754187841144
DE,2021,4,oblig_2021q1_2022q2,all,9.0,422624.052,786901.04,1074.1479055612888,3363.5,786901.04,0.10595699140172742
