facilityId,unitId,stateCode,year,quarter,gross_mwh,co2_tons,rggi_obligated,camd_rggi_program,coats_unit_match,coats_facility_match,source,yoy_pct_applied
544,10,CT,2026,2,89.4646695607812,,True,False,False,True,cems_extended,0.8763563246808136
544,10,CT,2026,3,91.97155276098579,,True,False,False,True,cems_extended,0.9580913936765122
544,11,CT,2020,1,99.91,125.6,True,True,True,True,cems_actual,
544,11,CT,2020,2,50.58,88.0,True,True,True,True,cems_actual,
544,11,CT,2020,3,262.38,390.5,True,True,True,True,cems_actual,
544,11,CT,2020,4,342.61,292.6,True,True,True,True,cems_actual,
544,11,CT,2021,1,86.84,114.0,True,True,True,True,cems_actual,
544,11,CT,2021,2,19.79,42.1,True,True,True,True,cems_actual,
544,11,CT,2021,3,307.15,360.2,True,True,True,True,cems_actual,
544,11,CT,2021,4,38.13,73.9,True,True,True,True,cems_actual,
544,11,CT,2022,1,168.5,288.0,True,True,True,True,cems_actual,
544,11,CT,2022,2,124.47,145.3,True,True,True,True,cems_actual,
544,11,CT,2022,3,466.9,873.0,True,True,True,True,cems_actual,
544,11,CT,2022,4,70.87,114.1,True,True,True,True,cems_actual,
544,11,CT,2023,1,131.78,205.4,True,True,True,True,cems_actual,
544,11,CT,2023,2,195.29,207.7,True,True,True,True,cems_actual,
544,11,CT,2023,3,82.19,96.0,True,True,True,True,cems_actual,
544,11,CT,2023,4,433.75,371.7,True,True,True,True,cems_actual,
544,11,CT,2024,1,54.81,50.9,True,True,True,True,cems_actual,
544,11,CT,2024,2,127.36,142.9,True,True,True,True,cems_actual,
544,11,CT,2024,3,345.1,373.3,True,True,True,True,cems_actual,
544,11,CT,2024,4,77.41,100.1,True,True,True,True,cems_actual,
544,11,CT,2025,1,160.57,176.9,True,True,True,True,cems_actual,
544,11,CT,2025,2,483.26,447.3,True,True,True,True,cems_actual,
544,11,CT,2025,3,76.5,103.3,True,True,True,True,cems_actual,
544,11,CT,2025,4,223.37,268.9,True,True,True,True,cems_actual,
544,11,CT,2026,1,167.0072896730382,183.9919632755836,True,True,True,True,cems_extended,0.040090238980122095
544,11,CT,2026,2,906.76795746525,839.294184029728,True,True,True,True,cems_extended,0.8763563246808136
544,11,CT,2026,3,149.79399161625318,202.2708409667837,True,True,True,True,cems_extended,0.9580913936765122
544,11,CT,2026,4,362.95328270444406,436.93485122991,True,True,True,True,cems_extended,0.6248971782443663
544,12,CT,2020,1,75.9,87.5,True,True,True,True,cems_actual,
544,12,CT,2020,2,116.62,165.6,True,True,True,True,cems_actual,
544,12,CT,2020,3,99.35,173.4,True,True,True,True,cems_actual,
544,12,CT,2020,4,316.96,271.9,True,True,True,True,cems_actual,
544,12,CT,2021,1,71.04,94.9,True,True,True,True,cems_actual,
544,12,CT,2021,2,97.46,165.2,True,True,True,True,cems_actual,
544,12,CT,2021,3,355.72,455.5,True,True,True,True,cems_actual,
544,12,CT,2021,4,7.95,17.2,True,True,True,True,cems_actual,
544,12,CT,2022,1,117.71,168.2,True,True,True,True,cems_actual,
544,12,CT,2022,2,64.63,45.6,True,True,True,True,cems_actual,
544,12,CT,2022,3,343.86,539.7,True,True,True,True,cems_actual,
544,12,CT,2022,4,88.98,171.2,True,True,True,True,cems_actual,
544,12,CT,2023,1,164.98,225.2,True,True,True,True,cems_actual,
544,12,CT,2023,2,235.79,245.9,True,True,True,True,cems_actual,
544,12,CT,2023,3,323.23,379.4,True,True,True,True,cems_actual,
544,12,CT,2023,4,152.26,149.1,True,True,True,True,cems_actual,
544,12,CT,2024,1,26.29,37.6,True,True,True,True,cems_actual,
