stateCode,facilityName,facilityId,unitId,associatedStacks,year,quarter,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo,camd_rggi_program,coats_unit_match,coats_facility_match,rggi_obligated,co2_intensity_st_per_mwh,co2_intensity_lb_per_mwh,co2_intensity_kg_per_mwh
CT,Devon,544,14,,2023,2,13,8.12,239.87,,0.056,0.0313,252.4,0.0762,1.002,0.7668,3248.0,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, RGGI, SIPNOX",True,True,True,True,1.052236628173594,2104.473256347188,954.5730119481385
CT,Devon,544,14,,2023,3,5,3.57,92.01,,0.026,0.0326,112.1,0.0766,0.404,0.6868,1428.0,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, RGGI, SIPNOX",True,True,True,True,1.2183458319747853,2436.6916639495707,1105.2647468101293
CT,Devon,544,14,,2023,4,9,4.94,126.59,,0.04,0.0403,160.1,0.081,0.979,1.0852,1976.0,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, RGGI, SIPNOX",True,True,True,True,1.2647128525159965,2529.425705031993,1147.3282002843828
CT,Devon,544,14,,2024,1,3,1.32,35.49,,0.011,0.04,42.8,0.081,0.317,1.2,528.0,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, RGGI, SIPNOX",True,True,True,True,1.2059735136658212,2411.9470273316424,1094.0407684418144
CT,Devon,544,14,,2024,2,7,3.02,79.73,,0.024,0.0409,97.8,0.0813,0.518,1.0524,1208.0,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, RGGI, SIPNOX",True,True,True,True,1.2266399096952212,2453.2798193904423,1112.7890075504827
CT,Devon,544,14,,2024,3,10,8.2,241.68,,0.066,0.0409,265.7,0.0812,0.935,0.6835,3280.0,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, RGGI, SIPNOX",True,True,True,True,1.0993876199933796,2198.775239986759,997.3476722029129
CT,Devon,544,14,,2024,4,7,4.45,145.51,,0.036,0.0407,144.1,0.081,0.861,1.0524,1780.0,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.9903099443337228,1980.6198886674456,898.3940693698028
CT,Devon,544,14,,2025,1,10,4.34,102.58,,0.035,0.0407,140.6,0.081,1.042,1.2,1736.0,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, RGGI, SIPNOX",True,True,True,True,1.3706375511795672,2741.2751023591345,1243.4214705010725
CT,Devon,544,14,,2025,2,22,18.81,629.24,,0.11,0.0281,562.4,0.074,1.37,0.4479,7524.0,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, RGGI, SIPNOX",True,True,True,True,0.8937766194138961,1787.5532388277923,810.8205101010743
CT,Devon,544,14,,2025,3,9,2.81,50.18,,0.023,0.0404,91.0,0.0809,0.674,1.2,1124.0,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, RGGI, SIPNOX",True,True,True,True,1.8134715025906736,3626.943005181347,1645.1536735751297
